DATA	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C70	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	C89	C90	C91	C92	C93	C94	C95	C96	C97	C98	C99	C100	C101	C102	C103	C104	C105	C106	C107	C108	C109	C110	C111	C112	C113	C114	C115	C116	C117	C118	C119	C120	C121	C122	C123	C124	C125	C126	C127	C128	C129	C130	C131	C132	C133	C134	C135	C136	C137	C138	C139	C140	C141	C142	C143	C144	C145	C146	C147	C148	C149	C150
R1	0.023659574	0.001982353	0.003096154	0.016381132	60.47272727	180.8928571	0.032898305	0.019416667	0.032365079	0.130984848	1.954411765	1.669565217	0.024680556	0.008392	0.011835294	6.869318182	0.002748421	0.002480612	3.59E-05	0.000227573	0.015752381	0.01390566	0.002025225	0.000301	0.000319008	0.000072888	0.000145865	8.167883212	0.002404317	0.006021429	0.00082695	0.004059589	0.000927891	0.001673856	0.000870064	0.000537853	9.76E-05	0.000264157	2.63E-05	0.000198314	0.000236057	0.000744382	2.06E-05	0.00107033	0.0000106	6.91E-05	3.34E-05	0.013057692	0.000404871	0.025810924	0.023659574	0.001982353	0.003096154	0.016381132	60.47272727	180.8928571	0.032898305	0.019416667	0.032365079	0.130984848	1.954411765	1.669565217	0.024680556	0.008392	0.011835294	6.869318182	0.002748421	0.002480612	3.59E-05	0.000227573	0.015752381	0.01390566	0.002025225	0.000301	0.000319008	0.000072888	0.000145865	8.167883212	0.002404317	0.006021429	0.00082695	0.004059589	0.000927891	0.001673856	0.000870064	0.000537853	9.76E-05	0.000264157	2.63E-05	0.000198314	0.000236057	0.000744382	2.06E-05	0.00107033	0.0000106	6.91E-05	3.34E-05	0.013057692	0.000404871	0.025810924	0.023659574	0.001982353	0.003096154	0.016381132	60.47272727	180.8928571	0.032898305	0.019416667	0.032365079	0.130984848	1.954411765	1.669565217	0.024680556	0.008392	0.011835294	6.869318182	0.002748421	0.002480612	3.59E-05	0.000227573	0.015752381	0.01390566	0.002025225	0.000301	0.000319008	0.000072888	0.000145865	8.167883212	0.002404317	0.006021429	0.00082695	0.004059589	0.000927891	0.001673856	0.000870064	0.000537853	9.76E-05	0.000264157	2.63E-05	0.000198314	0.000236057	0.000744382	2.06E-05	0.00107033	0.0000106	6.91E-05	3.34E-05	0.013057692	0.000404871	0.025810924
R2	0.173191489	0.003358824	0.005726923	0.006366038	2801.818182	18.07142857	1.284745763	5.256666667	13.2984127	2.766666667	2.711764706	0.178115942	0.004854167	0.010725333	0.215764706	34.69318182	0.0676	0.059295918	0.000383663	0.001314563	0.023895238	0.038764151	0.324144144	0.001540833	0.008203306	0.00042008	0.000231955	1.552554745	0.015129496	0.08	0.005504965	0.025417808	0.004986395	0.001413725	0.005724204	0.004791411	0.000987273	0.002864458	0.000335325	0.001946512	0.000901714	0.001975281	0.000210994	0.002460989	0.003688108	0.000178205	0.000221073	0.016533654	0.001894828	232.394958	0.173191489	0.003358824	0.005726923	0.006366038	2801.818182	18.07142857	1.284745763	5.256666667	13.2984127	2.766666667	2.711764706	0.178115942	0.004854167	0.010725333	0.215764706	34.69318182	0.0676	0.059295918	0.000383663	0.001314563	0.023895238	0.038764151	0.324144144	0.001540833	0.008203306	0.00042008	0.000231955	1.552554745	0.015129496	0.08	0.005504965	0.025417808	0.004986395	0.001413725	0.005724204	0.004791411	0.000987273	0.002864458	0.000335325	0.001946512	0.000901714	0.001975281	0.000210994	0.002460989	0.003688108	0.000178205	0.000221073	0.016533654	0.001894828	232.394958	0.173191489	0.003358824	0.005726923	0.006366038	2801.818182	18.07142857	1.284745763	5.256666667	13.2984127	2.766666667	2.711764706	0.178115942	0.004854167	0.010725333	0.215764706	34.69318182	0.0676	0.059295918	0.000383663	0.001314563	0.023895238	0.038764151	0.324144144	0.001540833	0.008203306	0.00042008	0.000231955	1.552554745	0.015129496	0.08	0.005504965	0.025417808	0.004986395	0.001413725	0.005724204	0.004791411	0.000987273	0.002864458	0.000335325	0.001946512	0.000901714	0.001975281	0.000210994	0.002460989	0.003688108	0.000178205	0.000221073	0.016533654	0.001894828	232.394958
R3	0.022489362	0.001939216	0.022076923	0.021037736	837.6363636	1.033928571	5.684745763	19.13333333	0.090936508	0.775757576	0.757352941	0.050463768	0.010184722	0.005348	0.022576471	1.452272727	0.000287789	0.000185306	3.59E-05	0.000511553	0.004357143	0.102075472	1.221621622	0.000172167	0.000242727	0.0002316	0.000232105	1.146715328	0.236115108	1.909285714	0.135035461	0.639657534	0.158163265	0.03596732	0.160955414	0.143190184	0.025733333	0.065361446	0.007485207	0.042395349	0.00648	0.001974719	0.000493039	0.000672527	0.000541081	0.000687179	0.001082439	0.004875	0.002746983	18.06722689	0.022489362	0.001939216	0.022076923	0.021037736	837.6363636	1.033928571	5.684745763	19.13333333	0.090936508	0.775757576	0.757352941	0.050463768	0.010184722	0.005348	0.022576471	1.452272727	0.000287789	0.000185306	3.59E-05	0.000511553	0.004357143	0.102075472	1.221621622	0.000172167	0.000242727	0.0002316	0.000232105	1.146715328	0.236115108	1.909285714	0.135035461	0.639657534	0.158163265	0.03596732	0.160955414	0.143190184	0.025733333	0.065361446	0.007485207	0.042395349	0.00648	0.001974719	0.000493039	0.000672527	0.000541081	0.000687179	0.001082439	0.004875	0.002746983	18.06722689	0.022489362	0.001939216	0.022076923	0.021037736	837.6363636	1.033928571	5.684745763	19.13333333	0.090936508	0.775757576	0.757352941	0.050463768	0.010184722	0.005348	0.022576471	1.452272727	0.000287789	0.000185306	3.59E-05	0.000511553	0.004357143	0.102075472	1.221621622	0.000172167	0.000242727	0.0002316	0.000232105	1.146715328	0.236115108	1.909285714	0.135035461	0.639657534	0.158163265	0.03596732	0.160955414	0.143190184	0.025733333	0.065361446	0.007485207	0.042395349	0.00648	0.001974719	0.000493039	0.000672527	0.000541081	0.000687179	0.001082439	0.004875	0.002746983	18.06722689
R4	0.013161702	0.001550784	0.067826923	0.066716981	517.0909091	0.582678571	5.43220339	15.31333333	0.24984127	2.184848485	2.035294118	0.039898551	0.0074625	0.004746667	0.067411765	1.523863636	0.000419474	0.000218673	4.30E-05	0.000437961	0.00544381	0.053018868	0.636486486	0.000102417	0.000146446	0.00019344	0.000108797	0.410875912	0.088057554	0.762857143	0.047078014	0.218630137	0.056843537	0.013150327	0.057433121	0.052092025	0.009272727	0.023909639	0.002828994	0.016017442	0.002663429	0.000829775	0.000165746	0.000257308	0.000199027	0.000475897	0.000598537	0.004640385	0.00108319	45.25210084	0.013161702	0.001550784	0.067826923	0.066716981	517.0909091	0.582678571	5.43220339	15.31333333	0.24984127	2.184848485	2.035294118	0.039898551	0.0074625	0.004746667	0.067411765	1.523863636	0.000419474	0.000218673	4.30E-05	0.000437961	0.00544381	0.053018868	0.636486486	0.000102417	0.000146446	0.00019344	0.000108797	0.410875912	0.088057554	0.762857143	0.047078014	0.218630137	0.056843537	0.013150327	0.057433121	0.052092025	0.009272727	0.023909639	0.002828994	0.016017442	0.002663429	0.000829775	0.000165746	0.000257308	0.000199027	0.000475897	0.000598537	0.004640385	0.00108319	45.25210084	0.013161702	0.001550784	0.067826923	0.066716981	517.0909091	0.582678571	5.43220339	15.31333333	0.24984127	2.184848485	2.035294118	0.039898551	0.0074625	0.004746667	0.067411765	1.523863636	0.000419474	0.000218673	4.30E-05	0.000437961	0.00544381	0.053018868	0.636486486	0.000102417	0.000146446	0.00019344	0.000108797	0.410875912	0.088057554	0.762857143	0.047078014	0.218630137	0.056843537	0.013150327	0.057433121	0.052092025	0.009272727	0.023909639	0.002828994	0.016017442	0.002663429	0.000829775	0.000165746	0.000257308	0.000199027	0.000475897	0.000598537	0.004640385	0.00108319	45.25210084
R5	0.012491489	0.001080588	0.000675577	0	2.48	0.729821429	0.001891525	0.010488333	0.025031746	0.075666667	0.207794118	0.125710145	0.000171111	0.000764533	0.029152941	4.863636364	0.005534737	0.004857143	7.25E-05	0.000172427	0.00833619	0.003730189	0.000713333	5.30E-05	0.000819256	0.000072888	0.000114135	0.625620438	0.000274317	0.000952143	0.000111348	0.000545068	0.000109048	0.000165752	0.000112357	9.51E-05	1.77E-05	5.22E-05	3.28E-06	3.68E-05	0.000363143	0.000105	0	0.000347363	3.83E-05	6.95E-05	1.51E-05	0.000571154	3.20E-05	5.495798319	0.012491489	0.001080588	0.000675577	0	2.48	0.729821429	0.001891525	0.010488333	0.025031746	0.075666667	0.207794118	0.125710145	0.000171111	0.000764533	0.029152941	4.863636364	0.005534737	0.004857143	7.25E-05	0.000172427	0.00833619	0.003730189	0.000713333	5.30E-05	0.000819256	0.000072888	0.000114135	0.625620438	0.000274317	0.000952143	0.000111348	0.000545068	0.000109048	0.000165752	0.000112357	9.51E-05	1.77E-05	5.22E-05	3.28E-06	3.68E-05	0.000363143	0.000105	0	0.000347363	3.83E-05	6.95E-05	1.51E-05	0.000571154	3.20E-05	5.495798319	0.012491489	0.001080588	0.000675577	0	2.48	0.729821429	0.001891525	0.010488333	0.025031746	0.075666667	0.207794118	0.125710145	0.000171111	0.000764533	0.029152941	4.863636364	0.005534737	0.004857143	7.25E-05	0.000172427	0.00833619	0.003730189	0.000713333	5.30E-05	0.000819256	0.000072888	0.000114135	0.625620438	0.000274317	0.000952143	0.000111348	0.000545068	0.000109048	0.000165752	0.000112357	9.51E-05	1.77E-05	5.22E-05	3.28E-06	3.68E-05	0.000363143	0.000105	0	0.000347363	3.83E-05	6.95E-05	1.51E-05	0.000571154	3.20E-05	5.495798319
R6	0.040021277	0.00039549	0.021	0.021226415	1666.181818	4.55	14.03898305	58.36666667	1.652380952	0.403939394	0.502941176	0.170289855	0.011723611	0.005930667	0.016282353	0.510795455	0	0	0	0.000491748	0.002982857	0.128773585	1.057657658	0.001305833	0.00029314	0.00024096	0.000830827	18.28467153	2.599280576	7.192857143	1.005673759	4.626027397	1.098639456	0.251895425	1.079617834	0.955828221	0.156121212	0.407590361	0.047964497	0.272209302	0.040491429	0.004403933	0.001794475	0.003704396	0.001307027	0.000780513	0.000836585	0.017014423	0.000509914	15.38655462	0.040021277	0.00039549	0.021	0.021226415	1666.181818	4.55	14.03898305	58.36666667	1.652380952	0.403939394	0.502941176	0.170289855	0.011723611	0.005930667	0.016282353	0.510795455	0	0	0	0.000491748	0.002982857	0.128773585	1.057657658	0.001305833	0.00029314	0.00024096	0.000830827	18.28467153	2.599280576	7.192857143	1.005673759	4.626027397	1.098639456	0.251895425	1.079617834	0.955828221	0.156121212	0.407590361	0.047964497	0.272209302	0.040491429	0.004403933	0.001794475	0.003704396	0.001307027	0.000780513	0.000836585	0.017014423	0.000509914	15.38655462	0.040021277	0.00039549	0.021	0.021226415	1666.181818	4.55	14.03898305	58.36666667	1.652380952	0.403939394	0.502941176	0.170289855	0.011723611	0.005930667	0.016282353	0.510795455	0	0	0	0.000491748	0.002982857	0.128773585	1.057657658	0.001305833	0.00029314	0.00024096	0.000830827	18.28467153	2.599280576	7.192857143	1.005673759	4.626027397	1.098639456	0.251895425	1.079617834	0.955828221	0.156121212	0.407590361	0.047964497	0.272209302	0.040491429	0.004403933	0.001794475	0.003704396	0.001307027	0.000780513	0.000836585	0.017014423	0.000509914	15.38655462
R7	0.022446809	0.003568627	4.103846154	3.69245283	412.1818182	0.834285714	4.701694915	67.36666667	5.538095238	2.895454545	2.670588235	0.020463768	0.006965278	0.005681333	0.211647059	1.3625	0.000255053	9.20E-05	7.12E-05	0.002596117	0.004419048	0.095660377	1.191891892	0.000164083	0.000540083	0.00056368	0.000380902	0.44080292	0.136330935	2.195714286	0.085957447	0.421712329	0.122585034	0.028568627	0.126050955	0.123742331	0.021848485	0.056939759	0.007349112	0.041133721	0.006462857	0.000976966	0.000262099	0.000566484	0.002499459	0.007476923	0.002397073	0.324759615	2.135775862	93.82352941	0.022446809	0.003568627	4.103846154	3.69245283	412.1818182	0.834285714	4.701694915	67.36666667	5.538095238	2.895454545	2.670588235	0.020463768	0.006965278	0.005681333	0.211647059	1.3625	0.000255053	9.20E-05	7.12E-05	0.002596117	0.004419048	0.095660377	1.191891892	0.000164083	0.000540083	0.00056368	0.000380902	0.44080292	0.136330935	2.195714286	0.085957447	0.421712329	0.122585034	0.028568627	0.126050955	0.123742331	0.021848485	0.056939759	0.007349112	0.041133721	0.006462857	0.000976966	0.000262099	0.000566484	0.002499459	0.007476923	0.002397073	0.324759615	2.135775862	93.82352941	0.022446809	0.003568627	4.103846154	3.69245283	412.1818182	0.834285714	4.701694915	67.36666667	5.538095238	2.895454545	2.670588235	0.020463768	0.006965278	0.005681333	0.211647059	1.3625	0.000255053	9.20E-05	7.12E-05	0.002596117	0.004419048	0.095660377	1.191891892	0.000164083	0.000540083	0.00056368	0.000380902	0.44080292	0.136330935	2.195714286	0.085957447	0.421712329	0.122585034	0.028568627	0.126050955	0.123742331	0.021848485	0.056939759	0.007349112	0.041133721	0.006462857	0.000976966	0.000262099	0.000566484	0.002499459	0.007476923	0.002397073	0.324759615	2.135775862	93.82352941
R8	0.077978723	0.012819608	0.018053846	0.019849057	34.21818182	43.44642857	0.056627119	0.099933333	0.032063492	0.075227273	0.224705882	0.145797101	0.006063889	0.013693333	0.010358824	1.09875	0.008552632	0.007189796	0.000124356	8.67E-05	0.005352381	0.002232075	0.000418829	0.0005045	0.000199752	0.00014608	0.000396541	0.755474453	0.007669065	0.029092857	0.003522695	0.016027397	0.004195918	0.001036601	0.003652229	0.002795092	0.000487939	0.001268675	0.000143077	0.000877326	0.000473029	0	0	0.001734066	0	0.000058	3.16E-05	0.010153846	0.001732759	0.013273109	0.077978723	0.012819608	0.018053846	0.019849057	34.21818182	43.44642857	0.056627119	0.099933333	0.032063492	0.075227273	0.224705882	0.145797101	0.006063889	0.013693333	0.010358824	1.09875	0.008552632	0.007189796	0.000124356	8.67E-05	0.005352381	0.002232075	0.000418829	0.0005045	0.000199752	0.00014608	0.000396541	0.755474453	0.007669065	0.029092857	0.003522695	0.016027397	0.004195918	0.001036601	0.003652229	0.002795092	0.000487939	0.001268675	0.000143077	0.000877326	0.000473029	0	0	0.001734066	0	0.000058	3.16E-05	0.010153846	0.001732759	0.013273109	0.077978723	0.012819608	0.018053846	0.019849057	34.21818182	43.44642857	0.056627119	0.099933333	0.032063492	0.075227273	0.224705882	0.145797101	0.006063889	0.013693333	0.010358824	1.09875	0.008552632	0.007189796	0.000124356	8.67E-05	0.005352381	0.002232075	0.000418829	0.0005045	0.000199752	0.00014608	0.000396541	0.755474453	0.007669065	0.029092857	0.003522695	0.016027397	0.004195918	0.001036601	0.003652229	0.002795092	0.000487939	0.001268675	0.000143077	0.000877326	0.000473029	0	0	0.001734066	0	0.000058	3.16E-05	0.010153846	0.001732759	0.013273109
R9	0.075361702	0.008437255	0.010094231	0.008858491	1.215090909	10.28928571	0.016127119	0.05435	0.013990476	0.084136364	0.203970588	0.117057971	0.002177778	0.002754667	0.012741176	0.730909091	0.000600105	0.000425816	0.000163267	9.75E-05	0.004470476	0.000904434	0.000306486	0.000250917	0.000201818	0.0000976	0.000467669	0.642773723	0.007417266	0.0261	0.003211348	0.014335616	0.003419048	0.00086732	0.003009554	0.00237362	0.000399636	0.001077711	0.000120769	0.000762791	0.000429943	0	0	0.000138736	1.37E-06	2.97E-05	1.20E-05	0.017865385	0.001024138	0.004218487	0.075361702	0.008437255	0.010094231	0.008858491	1.215090909	10.28928571	0.016127119	0.05435	0.013990476	0.084136364	0.203970588	0.117057971	0.002177778	0.002754667	0.012741176	0.730909091	0.000600105	0.000425816	0.000163267	9.75E-05	0.004470476	0.000904434	0.000306486	0.000250917	0.000201818	0.0000976	0.000467669	0.642773723	0.007417266	0.0261	0.003211348	0.014335616	0.003419048	0.00086732	0.003009554	0.00237362	0.000399636	0.001077711	0.000120769	0.000762791	0.000429943	0	0	0.000138736	1.37E-06	2.97E-05	1.20E-05	0.017865385	0.001024138	0.004218487	0.075361702	0.008437255	0.010094231	0.008858491	1.215090909	10.28928571	0.016127119	0.05435	0.013990476	0.084136364	0.203970588	0.117057971	0.002177778	0.002754667	0.012741176	0.730909091	0.000600105	0.000425816	0.000163267	9.75E-05	0.004470476	0.000904434	0.000306486	0.000250917	0.000201818	0.0000976	0.000467669	0.642773723	0.007417266	0.0261	0.003211348	0.014335616	0.003419048	0.00086732	0.003009554	0.00237362	0.000399636	0.001077711	0.000120769	0.000762791	0.000429943	0	0	0.000138736	1.37E-06	2.97E-05	1.20E-05	0.017865385	0.001024138	0.004218487
R10	0.386170213	0.045666667	0.074192308	0.081	27.50909091	41.35714286	0.262542373	0.617	0.072952381	0.290151515	0.345	0.083289855	0.010013889	0.004104	0.258588235	0.165681818	0.000474	0.000255102	6.62E-05	7.98E-05	0.00506	0.008712264	0.072162162	0.000485083	0.000376364	0.00012312	0.001223308	0.460072993	0.037266187	0.113571429	0.020595745	0.09760274	0.023469388	0.005073856	0.019401274	0.014269939	0.002336364	0.00574759	0.000642604	0.003577907	0.000751429	0.000327528	0	0	1.16E-05	0.00037	0.000532195	0.010230769	0.011008621	1.535714286	0.386170213	0.045666667	0.074192308	0.081	27.50909091	41.35714286	0.262542373	0.617	0.072952381	0.290151515	0.345	0.083289855	0.010013889	0.004104	0.258588235	0.165681818	0.000474	0.000255102	6.62E-05	7.98E-05	0.00506	0.008712264	0.072162162	0.000485083	0.000376364	0.00012312	0.001223308	0.460072993	0.037266187	0.113571429	0.020595745	0.09760274	0.023469388	0.005073856	0.019401274	0.014269939	0.002336364	0.00574759	0.000642604	0.003577907	0.000751429	0.000327528	0	0	1.16E-05	0.00037	0.000532195	0.010230769	0.011008621	1.535714286	0.386170213	0.045666667	0.074192308	0.081	27.50909091	41.35714286	0.262542373	0.617	0.072952381	0.290151515	0.345	0.083289855	0.010013889	0.004104	0.258588235	0.165681818	0.000474	0.000255102	6.62E-05	7.98E-05	0.00506	0.008712264	0.072162162	0.000485083	0.000376364	0.00012312	0.001223308	0.460072993	0.037266187	0.113571429	0.020595745	0.09760274	0.023469388	0.005073856	0.019401274	0.014269939	0.002336364	0.00574759	0.000642604	0.003577907	0.000751429	0.000327528	0	0	1.16E-05	0.00037	0.000532195	0.010230769	0.011008621	1.535714286
